k,config,n,steps_per_sec,iters,warmup,repeats
2,numpy (articulated body),1,4074,64,8,3
2,numpy (articulated body),2,8084,64,8,3
2,numpy (articulated body),4,16140,64,8,3
2,numpy (articulated body),8,32246,64,8,3
2,numpy (articulated body),16,64619,64,8,3
2,numpy (articulated body),32,128013,64,8,3
2,numpy (articulated body),64,249933,64,8,3
2,numpy (articulated body),128,470220,64,8,3
2,numpy (articulated body),256,843590,64,8,3
2,numpy (articulated body),512,1453242,64,8,3
2,numpy (articulated body),1024,2474010,64,8,3
2,numpy (articulated body),2048,3696977,64,8,3
2,numpy (articulated body),4096,4748778,64,8,3
2,numpy (articulated body),8192,5407254,64,8,3
2,numpy (articulated body),16384,4786600,64,8,3
2,numpy (articulated body),32768,4670956,64,8,3
2,numpy (articulated body),65536,4589703,64,8,3
2,"articulated-body kernel, eval every step",1,3934,64,8,3
2,"articulated-body kernel, eval every step",2,11292,64,8,3
2,"articulated-body kernel, eval every step",4,21325,64,8,3
2,"articulated-body kernel, eval every step",8,34288,64,8,3
2,"articulated-body kernel, eval every step",16,79625,64,8,3
2,"articulated-body kernel, eval every step",32,158951,64,8,3
2,"articulated-body kernel, eval every step",64,321670,64,8,3
2,"articulated-body kernel, eval every step",128,684182,64,8,3
2,"articulated-body kernel, eval every step",256,1362122,64,8,3
2,"articulated-body kernel, eval every step",512,2738216,64,8,3
2,"articulated-body kernel, eval every step",1024,5320290,64,8,3
2,"articulated-body kernel, eval every step",2048,10647279,64,8,3
2,"articulated-body kernel, eval every step",4096,21541583,64,8,3
2,"articulated-body kernel, eval every step",8192,42871058,64,8,3
2,"articulated-body kernel, eval every step",16384,83369748,64,8,3
2,"articulated-body kernel, eval every step",32768,159854563,64,8,3
2,"articulated-body kernel, eval every step",65536,295924921,64,8,3
2,"articulated-body kernel, eval every 32",1,21423,64,8,3
2,"articulated-body kernel, eval every 32",2,46614,64,8,3
2,"articulated-body kernel, eval every 32",4,94818,64,8,3
2,"articulated-body kernel, eval every 32",8,184851,64,8,3
2,"articulated-body kernel, eval every 32",16,349021,64,8,3
2,"articulated-body kernel, eval every 32",32,704436,64,8,3
2,"articulated-body kernel, eval every 32",64,1376865,64,8,3
2,"articulated-body kernel, eval every 32",128,2760069,64,8,3
2,"articulated-body kernel, eval every 32",256,5629192,64,8,3
2,"articulated-body kernel, eval every 32",512,11048341,64,8,3
2,"articulated-body kernel, eval every 32",1024,22042799,64,8,3
2,"articulated-body kernel, eval every 32",2048,41907836,64,8,3
2,"articulated-body kernel, eval every 32",4096,80959642,64,8,3
2,"articulated-body kernel, eval every 32",8192,136345468,64,8,3
2,"articulated-body kernel, eval every 32",16384,224302342,64,8,3
2,"articulated-body kernel, eval every 32",32768,445121286,64,8,3
2,"articulated-body kernel, eval every 32",65536,670932129,64,8,3
2,"mass-matrix kernel (v10), eval every 32",1,20523,64,8,3
2,"mass-matrix kernel (v10), eval every 32",2,45639,64,8,3
2,"mass-matrix kernel (v10), eval every 32",4,92081,64,8,3
2,"mass-matrix kernel (v10), eval every 32",8,182672,64,8,3
2,"mass-matrix kernel (v10), eval every 32",16,375740,64,8,3
2,"mass-matrix kernel (v10), eval every 32",32,734719,64,8,3
2,"mass-matrix kernel (v10), eval every 32",64,1451046,64,8,3
2,"mass-matrix kernel (v10), eval every 32",128,2888534,64,8,3
2,"mass-matrix kernel (v10), eval every 32",256,5791616,64,8,3
2,"mass-matrix kernel (v10), eval every 32",512,11633955,64,8,3
2,"mass-matrix kernel (v10), eval every 32",1024,23148395,64,8,3
2,"mass-matrix kernel (v10), eval every 32",2048,45666379,64,8,3
2,"mass-matrix kernel (v10), eval every 32",4096,90760908,64,8,3
2,"mass-matrix kernel (v10), eval every 32",8192,173912411,64,8,3
2,"mass-matrix kernel (v10), eval every 32",16384,249906402,64,8,3
2,"mass-matrix kernel (v10), eval every 32",32768,371453996,64,8,3
2,"mass-matrix kernel (v10), eval every 32",65536,924500410,64,8,3
4,numpy (articulated body),1,1723,64,8,3
4,numpy (articulated body),2,3442,64,8,3
4,numpy (articulated body),4,6873,64,8,3
4,numpy (articulated body),8,13511,64,8,3
4,numpy (articulated body),16,26649,64,8,3
4,numpy (articulated body),32,53004,64,8,3
4,numpy (articulated body),64,105852,64,8,3
