backend,series,n,seed,solved,iterations,grad_steps,env_steps,train_seconds,score
mlx,mlx env,1,0,True,50999,41000,50999,23.71261686878279,499.7265625
mlx,mlx env,1,1,True,46499,36500,46499,20.96892604138702,494.1513671875
mlx,mlx env,1,2,True,53499,43500,53499,24.87660171627067,478.58642578125
mlx,mlx env,1,3,True,49999,40000,49999,22.75143207120709,491.9208984375
mlx,mlx env,1,4,True,53499,43500,53499,24.710835744044743,486.7216796875
mlx,mlx env,16,0,True,36624,36000,585984,19.40918093570508,487.11962890625
mlx,mlx env,16,1,True,31124,30500,497984,17.012592102517374,476.41748046875
mlx,mlx env,16,2,True,45624,45000,729984,25.289016094990075,491.98681640625
mlx,mlx env,16,3,True,39124,38500,625984,18.7233520305017,486.65625
mlx,mlx env,16,4,True,44124,43500,705984,21.101190675399266,478.26513671875
mlx,mlx env,256,0,True,23539,23500,6025984,11.499815942253917,476.23681640625
mlx,mlx env,256,1,True,20039,20000,5129984,9.723082166048698,500.0
mlx,mlx env,256,2,True,19539,19500,5001984,9.419419978628866,500.0
mlx,mlx env,256,3,True,22039,22000,5641984,10.641326321056113,496.16748046875
mlx,mlx env,256,4,True,19039,19000,4873984,9.301183274830692,492.71875
mlx,mlx env,4096,0,True,19002,19000,77832192,10.564067489816807,487.91748046875
mlx,mlx env,4096,1,True,18002,18000,73736192,10.011511615361087,496.998046875
mlx,mlx env,4096,2,True,20502,20500,83976192,12.700403646682389,492.8759765625
mlx,mlx env,4096,3,True,21002,21000,86024192,14.012380637577735,499.90283203125
mlx,mlx env,4096,4,True,19502,19500,79880192,12.324564508278854,484.30419921875
mlx,mlx env,65536,0,True,21000,21000,1376256000,70.08840641810093,500.0
mlx,mlx env,65536,1,True,17500,17500,1146880000,51.21981841290835,500.0
mlx,mlx env,65536,2,True,19000,19000,1245184000,55.65511932387017,490.939453125
mlx,mlx env,65536,3,True,21000,21000,1376256000,61.5366904491093,495.1201171875
mlx,mlx env,65536,4,True,20000,20000,1310720000,58.823119116481394,490.828125
numpy,numpy env,1,0,True,42499,32500,42499,27.748109645326622,475.65966796875
numpy,numpy env,1,1,True,52999,43000,52999,35.39565206540283,481.84130859375
numpy,numpy env,1,2,True,53499,43500,53499,35.54060902586207,487.06005859375
numpy,numpy env,1,3,True,48499,38500,48499,31.81404557125643,485.3388671875
numpy,numpy env,1,4,True,52499,42500,52499,35.297592737246305,495.3125
numpy,numpy env,16,0,True,39124,38500,625984,27.90373062994331,479.1875
numpy,numpy env,16,1,True,35624,35000,569984,25.51694182155188,480.9150390625
numpy,numpy env,16,2,True,46624,46000,745984,33.26879355730489,478.9169921875
numpy,numpy env,16,3,True,35124,34500,561984,25.167763769393787,477.08544921875
numpy,numpy env,16,4,True,34124,33500,545984,23.468305590446107,479.4814453125
numpy,numpy env,256,0,True,21539,21500,5513984,15.68984926911071,486.8818359375
numpy,numpy env,256,1,True,19539,19500,5001984,14.375695400638506,492.95263671875
numpy,numpy env,256,2,True,19539,19500,5001984,14.062564204912633,495.3046875
numpy,numpy env,256,3,True,22039,22000,5641984,16.050596071989276,489.44873046875
numpy,numpy env,256,4,True,21539,21500,5513984,15.714222491602413,499.6064453125
numpy,numpy env,4096,0,True,21002,21000,86024192,19.5978394363774,499.6064453125
numpy,numpy env,4096,1,True,17502,17500,71688192,16.273877731640823,499.837890625
numpy,numpy env,4096,2,True,17502,17500,71688192,16.715045954450034,500.0
numpy,numpy env,4096,3,True,20502,20500,83976192,19.35466856264975,482.58349609375
numpy,numpy env,4096,4,True,18002,18000,73736192,16.93941372865811,489.9541015625
numpy,numpy env,65536,0,True,20000,20000,1310720000,107.96984495699871,475.97314453125
numpy,numpy env,65536,1,True,17000,17000,1114112000,92.27301644405816,499.98583984375
numpy,numpy env,65536,2,True,19000,19000,1245184000,102.86148619896267,491.287109375
numpy,numpy env,65536,3,True,18500,18500,1212416000,99.77859513647854,499.59912109375
numpy,numpy env,65536,4,True,21500,21500,1409024000,117.15211441123392,497.2041015625
