backend,batch,series,n,seed,solved,iterations,grad_steps,env_steps,train_seconds,score
mlx,128,batch 128,256,0,True,23539,23500,6025984,11.524566383799538,476.23681640625
mlx,128,batch 128,256,1,True,20039,20000,5129984,9.676382297184318,500.0
mlx,128,batch 128,256,2,True,19539,19500,5001984,9.479054934461601,500.0
mlx,128,batch 128,256,3,True,22039,22000,5641984,10.839113854221068,496.16748046875
mlx,128,batch 128,256,4,True,19039,19000,4873984,9.277415432152338,492.71875
mlx,128,batch 128,4096,0,True,19002,19000,77832192,10.585894510964863,487.91748046875
mlx,128,batch 128,4096,1,True,18002,18000,73736192,10.914455905556679,496.998046875
mlx,128,batch 128,4096,2,True,20502,20500,83976192,11.748029047506861,492.8759765625
mlx,128,batch 128,4096,3,True,21002,21000,86024192,12.019528326345608,499.90283203125
mlx,128,batch 128,4096,4,True,19502,19500,79880192,11.099821108276956,484.30419921875
mlx,1024,batch 1024,256,0,True,19039,19000,4873984,10.91543005197309,500.0
mlx,1024,batch 1024,256,1,True,13039,13000,3337984,7.458484458737075,499.39208984375
mlx,1024,batch 1024,256,2,True,13539,13500,3465984,7.762922538211569,500.0
mlx,1024,batch 1024,256,3,True,16039,16000,4105984,9.65331861388404,500.0
mlx,1024,batch 1024,256,4,True,12039,12000,3081984,7.574724839767441,479.79150390625
mlx,1024,batch 1024,4096,0,True,15502,15500,63496192,11.00575782940723,500.0
mlx,1024,batch 1024,4096,1,True,17002,17000,69640192,12.039509299444035,500.0
mlx,1024,batch 1024,4096,2,True,14002,14000,57352192,9.911421374999918,500.0
mlx,1024,batch 1024,4096,3,True,16502,16500,67592192,11.639272544300184,491.400390625
mlx,1024,batch 1024,4096,4,True,17002,17000,69640192,11.96844672516454,490.57568359375
mlx,8192,batch 8192,256,0,True,19039,19000,4873984,26.356365424813703,498.72119140625
mlx,8192,batch 8192,256,1,True,14539,14500,3721984,20.158033065963537,500.0
mlx,8192,batch 8192,256,2,True,16539,16500,4233984,22.90109692851547,500.0
mlx,8192,batch 8192,256,3,True,11539,11500,2953984,16.030393628636375,500.0
mlx,8192,batch 8192,256,4,True,8539,8500,2185984,12.038814455387183,500.0
mlx,8192,batch 8192,4096,0,True,7002,7000,28680192,10.308672206592746,499.0576171875
mlx,8192,batch 8192,4096,1,True,7502,7500,30728192,11.064371473272331,500.0
mlx,8192,batch 8192,4096,2,True,14002,14000,57352192,20.523678932338953,494.82666015625
mlx,8192,batch 8192,4096,3,True,15002,15000,61448192,22.06258885806892,500.0
mlx,8192,batch 8192,4096,4,True,10502,10500,43016192,15.563095731195062,499.63916015625
