backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
numpy,0.1,numpy,64,0,True,16,72173,0.3599771250737831,500.0,200493.29519259586
numpy,0.1,numpy,64,1,True,16,95133,0.3587283770320937,500.0,265195.0782011564
numpy,0.1,numpy,64,2,True,11,55361,0.2460900010773912,485.8876953125,224962.41114075127
numpy,0.1,numpy,64,3,True,29,160714,0.6582058341009542,500.0,244169.81994624803
numpy,0.1,numpy,64,4,True,12,97437,0.27003891696222126,500.0,360825.7694709668
numpy,0.1,numpy,256,0,True,25,581869,1.3469992928439751,482.76123046875,431974.24311298336
numpy,0.1,numpy,256,1,True,21,511333,1.1471441687317565,500.0,445744.3222374676
numpy,0.1,numpy,256,2,True,14,370997,0.7509784179273993,499.0654296875,494018.1916597583
numpy,0.1,numpy,256,3,True,18,512187,0.9774726670002565,499.56787109375,523991.1225055929
numpy,0.1,numpy,256,4,True,20,576394,1.0994209590135142,500.0,524270.5219274566
numpy,0.1,numpy,1024,0,True,21,1732344,3.734587914426811,491.53515625,463864.83320098306
numpy,0.1,numpy,1024,1,True,16,1160928,2.8297066659433767,500.0,410264.43269623007
numpy,0.1,numpy,1024,2,True,11,1145879,1.9198804991319776,499.81640625,596849.1270774814
numpy,0.1,numpy,1024,3,True,16,1959182,2.8826852513011545,495.72900390625,679637.8477725538
numpy,0.1,numpy,1024,4,True,17,1677627,3.0511705431854352,499.95556640625,549830.6227906062
numpy,0.1,numpy,4096,0,True,21,6782603,15.185797795769759,499.259765625,446641.2032622613
numpy,0.1,numpy,4096,1,True,14,3696037,9.923435792909004,490.58447265625,372455.3750467232
numpy,0.1,numpy,4096,2,True,9,3167745,6.271776376175694,499.77880859375,505079.39218514966
numpy,0.1,numpy,4096,3,True,16,8173749,11.440723958890885,494.919921875,714443.3367477559
numpy,0.1,numpy,4096,4,True,17,6901935,12.090700040920638,499.728515625,570846.5991746213
numpy,0.1,numpy,16384,0,True,23,29048587,75.99667895573657,499.94873046875,382234.9528841784
numpy,0.1,numpy,16384,1,True,20,29661415,65.83479237568099,499.08642578125,450543.1540019068
numpy,0.1,numpy,16384,2,True,8,9172920,25.53573508420959,489.80810546875,359218.9521762471
numpy,0.1,numpy,16384,3,True,14,26539922,49.60849662637338,475.59375,534987.4276554991
numpy,0.1,numpy,16384,4,True,13,13525667,43.19981124892365,482.625,313095.511507287
numpy,0.1,numpy,65536,0,False,20,85259766,305.8737421691185,292.72119140625,278741.6971309019
numpy,0.1,numpy,65536,1,False,20,110064958,305.450445168186,471.94873046875,360336.54473607475
numpy,0.1,numpy,65536,2,True,8,37722449,117.26640054292511,494.57666015625,321681.6481562575
numpy,0.1,numpy,65536,3,True,15,120953123,228.95705883426126,499.8818359375,528278.6371201433
numpy,0.1,numpy,65536,4,True,17,113631947,258.1991703758249,499.96533203125,440094.160002922
mlx,0.1,mlx,64,0,True,16,83167,0.34748420491814613,500.0,239340.37525415272
mlx,0.1,mlx,64,1,True,21,113896,0.4526782901957631,499.943359375,251604.73224979505
mlx,0.1,mlx,64,2,True,18,105850,0.38823553815018386,500.0,272643.76801861275
mlx,0.1,mlx,64,3,True,14,114679,0.30073908099438995,500.0,381323.90250317764
mlx,0.1,mlx,64,4,True,38,182293,0.8227424577344209,499.53125,221567.51275724694
mlx,0.1,mlx,256,0,True,19,382537,0.4107745843939483,485.8701171875,931257.7129483079
mlx,0.1,mlx,256,1,True,19,419047,0.411163127864711,489.95458984375,1019174.5601708797
mlx,0.1,mlx,256,2,True,12,204187,0.2600043751299381,500.0,785321.4004493456
mlx,0.1,mlx,256,3,True,14,223350,0.30274724983610213,499.9970703125,737744.108727378
mlx,0.1,mlx,256,4,True,28,560420,0.6038610412506387,500.0,928061.1957335926
mlx,0.1,mlx,1024,0,True,24,1773973,0.7230042509036139,499.716796875,2453613.513036584
mlx,0.1,mlx,1024,1,True,24,2092608,0.6396420451346785,478.41357421875,3271529.781253506
mlx,0.1,mlx,1024,2,True,14,1510437,0.3676982067991048,500.0,4107817.15023495
mlx,0.1,mlx,1024,3,True,14,1358841,0.38111396005842835,481.42578125,3565445.358631515
mlx,0.1,mlx,1024,4,True,23,1871729,0.6320050002541393,498.22216796875,2961573.087629604
mlx,0.1,mlx,4096,0,True,24,8017045,1.1672131259692833,499.87890625,6868535.678385593
mlx,0.1,mlx,4096,1,True,24,9005824,1.2431497075594962,500.0,7244359.987567296
mlx,0.1,mlx,4096,2,True,9,2580213,0.4519875847036019,476.67578125,5708592.641304553
mlx,0.1,mlx,4096,3,True,18,8446809,0.9036453342996538,500.0,9347482.556910975
mlx,0.1,mlx,4096,4,True,21,6717313,1.024836872704327,497.9423828125,6554519.239998104
mlx,0.1,mlx,16384,0,True,22,27912840,3.5002403327962384,487.44775390625,7974549.558344543
mlx,0.1,mlx,16384,1,True,24,32920522,3.802113249897957,499.87109375,8658480.123095633
mlx,0.1,mlx,16384,2,True,11,15229772,1.7397537090582773,499.64453125,8753981.624355221
