backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,lr 0.1,256,0,True,6,680100,0.03659950103610754,97.44091796875,18582220.542543508
metal,0.1,lr 0.1,256,1,True,7,822441,0.027000584988854825,93.0361328125,30460117.821131777
metal,0.1,lr 0.1,256,2,True,3,339562,0.011885625077411532,89.40234375,28569132.69503452
metal,0.1,lr 0.1,256,3,True,4,411535,0.015429750084877014,84.76025390625,26671527.25975472
metal,0.1,lr 0.1,256,4,True,3,286993,0.011560456943698227,83.80859375,24825402.784484573
metal,0.1,lr 0.1,4096,0,True,6,10946428,0.02883949992246926,84.501953125,379563724.38592404
metal,0.1,lr 0.1,4096,1,True,8,14736082,0.03511933295521885,97.1416015625,419600281.6679401
metal,0.1,lr 0.1,4096,2,True,4,7307256,0.017548332922160625,91.24072265625,416407417.8677196
metal,0.1,lr 0.1,4096,3,True,3,5463836,0.013631166890263557,89.7138671875,400834062.4090442
metal,0.1,lr 0.1,4096,4,True,3,4688354,0.013259000144898891,87.2568359375,353597854.1944387
metal,0.1,lr 0.1,65536,0,True,6,177054460,1.280380623997189,90.01025390625,138282676.79282588
metal,0.1,lr 0.1,65536,1,True,8,237844448,1.7794142911443487,99.39794921875,133664458.6837848
metal,0.1,lr 0.1,65536,2,True,4,116236752,0.8933690007543191,90.45458984375,130110572.34116597
metal,0.1,lr 0.1,65536,3,True,4,110932694,0.8894924579653889,86.6552734375,124714597.64116012
metal,0.1,lr 0.1,65536,4,True,2,53169768,0.44182912597898394,90.74169921875,120340115.3832694
metal,0.3,lr 0.3,256,0,True,7,581599,0.027068916941061616,85.6494140625,21485861.487045895
metal,0.3,lr 0.3,256,1,True,4,470597,0.015424125012941658,93.88037109375,30510450.324095804
metal,0.3,lr 0.3,256,2,True,1,120416,0.003813458955846727,95.783203125,31576582.15132494
metal,0.3,lr 0.3,256,3,True,2,209246,0.00776791712269187,85.3994140625,26937208.09517192
metal,0.3,lr 0.3,256,4,True,1,109001,0.003850957960821688,86.81396484375,28304905.19734009
metal,0.3,lr 0.3,4096,0,True,3,5379884,0.01382545696105808,83.2587890625,389128837.84987533
metal,0.3,lr 0.3,4096,1,True,4,7205952,0.017713542096316814,90.67041015625,406804689.9269422
metal,0.3,lr 0.3,4096,2,True,2,3731223,0.008810208062641323,87.61572265625,423511337.4702038
metal,0.3,lr 0.3,4096,3,True,2,3533637,0.008819542126730084,85.939453125,400659915.13213897
metal,0.3,lr 0.3,4096,4,True,4,5290088,0.017543166875839233,98.23046875,301546923.50818396
metal,0.3,lr 0.3,65536,0,True,3,87627736,0.6701003341004252,84.447265625,130768082.83887169
metal,0.3,lr 0.3,65536,1,True,4,116405186,0.8905904159182683,87.81884765625,130705635.18245047
metal,0.3,lr 0.3,65536,2,True,2,59290892,0.44652483391109854,88.296875,132782966.35972682
metal,0.3,lr 0.3,65536,3,True,2,56774776,0.44679883297067136,85.85888671875,127070108.08984542
metal,0.3,lr 0.3,65536,4,True,2,47732016,0.44940599997062236,92.77392578125,106211345.64985834
metal,1.0,lr 1.0,256,0,True,56,3016382,0.16068741912022233,96.3544921875,18771737.180887934
metal,1.0,lr 1.0,256,1,True,16,1512970,0.058829913032241166,84.34765625,25717699.075482763
metal,1.0,lr 1.0,256,2,True,2,243028,0.0076091260416433215,93.0400390625,31939016.21157979
metal,1.0,lr 1.0,256,3,True,3,323070,0.01149383292067796,96.302734375,28108116.95537887
metal,1.0,lr 1.0,256,4,True,2,156678,0.007647541002370417,89.80517578125,20487369.724652197
metal,1.0,lr 1.0,4096,0,True,1,1967053,0.004863374982960522,99.11376953125,404462540.2918407
metal,1.0,lr 1.0,4096,1,True,3,5721632,0.013155875029042363,85.259765625,434910789.8462978
metal,1.0,lr 1.0,4096,2,True,1,1958966,0.004339416045695543,87.33935546875,451435395.77017146
metal,1.0,lr 1.0,4096,3,True,1,1942155,0.004396624979563057,86.75537109375,441737698.5819277
metal,1.0,lr 1.0,4096,4,True,17,30446988,0.07501925120595843,84.35595703125,405855663.8536768
metal,1.0,lr 1.0,65536,0,True,5,132930612,1.1229689579922706,84.537109375,118374253.40560034
metal,1.0,lr 1.0,65536,1,True,2,60515432,0.44186895911116153,91.77490234375,136953344.9956055
metal,1.0,lr 1.0,65536,2,True,1,31352388,0.22052274993620813,90.9482421875,142173032.07523707
metal,1.0,lr 1.0,65536,3,True,1,30922384,0.22520412504673004,85.36669921875,137308248.65478632
metal,1.0,lr 1.0,65536,4,True,186,6039097932,41.368490502936766,85.00537109375,145983038.26365823
