backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,262144,0,True,24,528939265,2.927408749004826,500.0,180685141.82715794
metal,0.1,metal,262144,1,True,24,541874170,2.981822294765152,500.0,181725842.93547848
metal,0.1,metal,262144,2,True,10,180662781,1.2559472928987816,499.9873046875,143845830.17255634
metal,0.1,metal,262144,3,True,17,499253063,2.50577599927783,499.99658203125,199240899.0843099
metal,0.1,metal,262144,4,True,21,420024457,2.196761622093618,497.88525390625,191201654.642754
metal,0.1,metal,1048576,0,True,24,2158611243,12.076729832799174,500.0,178741370.62646136
metal,0.1,metal,1048576,1,True,24,2117804744,11.61521549790632,498.9306640625,182330215.43007454
metal,0.1,metal,1048576,2,True,10,721415760,4.7685746271163225,500.0,151285408.41065925
metal,0.1,metal,1048576,3,True,17,2061994850,9.924686291138642,500.0,207764234.5069459
metal,0.1,metal,1048576,4,True,21,1656568491,8.22987679077778,495.94287109375,201287155.70278212
