backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,256,0,False,500,55291737,64.17441355646588,595.2261962890625,861585.3879420311
metal,0.1,metal,256,1,True,389,47456421,49.531201738049276,600.049072265625,958111.6414452861
metal,0.1,metal,256,2,False,500,58550989,63.70616382721346,572.1109619140625,919078.8690212843
metal,0.1,metal,1024,0,False,500,235178136,64.06182926148176,527.691650390625,3671111.7792167817
metal,0.1,metal,1024,1,True,434,204856903,56.0098370029591,601.88330078125,3657516.49998869
metal,0.1,metal,1024,2,True,197,94694826,25.23611459042877,600.1439819335938,3752353.622451637
metal,0.1,metal,4096,0,True,499,899459086,69.10772386624012,600.519775390625,13015319.210062938
metal,0.1,metal,4096,1,False,500,953183888,69.01982649380807,521.1448974609375,13810290.990596918
metal,0.1,metal,4096,2,True,209,399269424,28.88415846042335,600.09716796875,13823128.153346516
metal,0.1,metal,16384,0,False,276,1897379083,120.01802036340814,568.82275390625,15809118.307857752
metal,0.1,metal,16384,1,False,251,1901174325,120.4165688311914,529.0348510742188,15788311.720334789
metal,0.1,metal,16384,2,True,213,1629005130,104.51322316995356,600.900634765625,15586593.548559908
