backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,lr 0.1,256,0,True,19,382537,0.028985039214603603,485.8701171875,13197739.605170706
metal,0.1,lr 0.1,256,1,True,19,419047,0.02442800044082105,489.95458984375,17154371.722531185
metal,0.1,lr 0.1,256,2,True,12,204187,0.015237667015753686,500.0,13400148.447193278
metal,0.1,lr 0.1,256,3,True,14,223350,0.014966206974349916,499.9970703125,14923620.953712061
metal,0.1,lr 0.1,256,4,True,28,560420,0.029544168733991683,500.0,18968887.060112666
metal,0.1,lr 0.1,4096,0,True,24,8016878,0.04067683720495552,499.87353515625,197087053.73542002
metal,0.1,lr 0.1,4096,1,True,24,8998839,0.040604918845929205,500.0,221619430.74298662
metal,0.1,lr 0.1,4096,2,True,9,2580213,0.01731083181221038,476.67578125,149051936.26686496
metal,0.1,lr 0.1,4096,3,True,18,8446809,0.031403001165017486,500.0,268980947.25448185
metal,0.1,lr 0.1,4096,4,True,21,6717313,0.0336663331836462,497.9423828125,199526124.90816227
metal,0.1,lr 0.1,65536,0,True,24,132300706,1.467519540921785,500.0,90152602.61331764
metal,0.1,lr 0.1,65536,1,True,24,142404209,1.5273733321810141,500.0,93234709.54979539
metal,0.1,lr 0.1,65536,2,True,10,46097045,0.45331679191440344,499.9619140625,101688368.53655352
metal,0.1,lr 0.1,65536,3,True,17,124875664,1.2270538751035929,500.0,101768688.8356532
metal,0.1,lr 0.1,65536,4,True,22,109443336,1.2286842098692432,494.11083984375,89073608.27209376
metal,0.3,lr 0.3,256,0,True,27,925876,0.03959299763664603,500.0,23384842.150548317
metal,0.3,lr 0.3,256,1,True,25,841501,0.031026583747006953,500.0,27121935.3977757
metal,0.3,lr 0.3,256,2,True,19,589487,0.02421228971797973,500.0,24346602.773477253
metal,0.3,lr 0.3,256,3,True,19,279197,0.018623291049152613,499.82763671875,14991818.538576933
metal,0.3,lr 0.3,256,4,True,20,297599,0.018632293329574168,500.0,15972215.268188968
metal,0.3,lr 0.3,4096,0,True,27,7293118,0.042713584611192346,498.248046875,170744695.5432761
metal,0.3,lr 0.3,4096,1,True,25,10251794,0.04203075205441564,500.0,243911743.1619445
metal,0.3,lr 0.3,4096,2,True,15,4724710,0.02341304486617446,484.30224609375,201798186.73759657
metal,0.3,lr 0.3,4096,3,True,8,1810509,0.011764831724576652,476.87744140625,153891618.88459986
metal,0.3,lr 0.3,4096,4,True,26,9754188,0.04147279018070549,500.0,235194882.17452922
metal,0.3,lr 0.3,65536,0,True,29,176159877,1.990219502709806,500.0,88512788.04179515
metal,0.3,lr 0.3,65536,1,True,29,185719789,2.0601248756283894,500.0,90149772.56820455
metal,0.3,lr 0.3,65536,2,True,22,139055451,1.5586241687415168,500.0,89216793.75232442
metal,0.3,lr 0.3,65536,3,True,23,148485471,1.704930126084946,482.5029296875,87091821.9627975
metal,0.3,lr 0.3,65536,4,True,28,190833556,2.1781615811632946,488.56494140625,87612212.81760061
metal,1.0,lr 1.0,256,0,True,28,579496,0.02727374993264675,499.65673828125,21247389.942016803
metal,1.0,lr 1.0,256,1,True,25,673230,0.02561695803888142,499.88916015625,26280637.96560745
metal,1.0,lr 1.0,256,2,True,19,269097,0.015706293401308358,500.0,17133068.453794695
metal,1.0,lr 1.0,256,3,True,20,354831,0.017474835040047765,499.9970703125,20305256.054596215
metal,1.0,lr 1.0,256,4,True,24,519573,0.022864580154418945,499.76025390625,22723924.799449433
metal,1.0,lr 1.0,4096,0,True,28,12306350,0.043350251973606646,500.0,283881856.2690845
metal,1.0,lr 1.0,4096,1,True,28,11425641,0.040384413907304406,500.0,282922045.77304566
metal,1.0,lr 1.0,4096,2,True,20,5514712,0.02623808803036809,490.43505859375,210179643.9442251
metal,1.0,lr 1.0,4096,3,True,19,8783051,0.02719007944688201,500.0,323024102.1236584
metal,1.0,lr 1.0,4096,4,True,21,7801136,0.028742664377205074,500.0,271413112.49442977
metal,1.0,lr 1.0,65536,0,True,30,208775899,2.5415377494646236,493.33544921875,82145503.85646594
metal,1.0,lr 1.0,65536,1,True,29,219328832,2.634825418703258,500.0,83242263.5834232
metal,1.0,lr 1.0,65536,2,True,27,182399697,2.3150716641684994,500.0,78787926.8806619
metal,1.0,lr 1.0,65536,3,True,23,139201591,1.7429978330619633,500.0,79863318.45029402
metal,1.0,lr 1.0,65536,4,True,23,125498522,1.5207780048949644,499.876953125,82522578.30929624
