c,config,n,steps_per_sec,sweeps,iters,warmup,repeats
1,numpy,1,752,8,64,8,3
1,numpy,2,1424,8,64,8,3
1,numpy,4,2868,8,64,8,3
1,numpy,8,6045,8,64,8,3
1,numpy,16,12190,8,64,8,3
1,numpy,32,24322,8,64,8,3
1,numpy,64,46979,8,64,8,3
1,numpy,128,82222,8,64,8,3
1,numpy,256,161632,8,64,8,3
1,numpy,512,273007,8,64,8,3
1,numpy,1024,427187,8,64,8,3
1,numpy,2048,627199,8,64,8,3
1,numpy,4096,802077,8,64,8,3
1,numpy,8192,845107,8,64,8,3
1,numpy,16384,811240,8,64,8,3
1,numpy,32768,769339,8,64,8,3
1,numpy,65536,850377,8,64,8,3
1,"mlx compiled, eval every 32",1,625,8,64,8,3
1,"mlx compiled, eval every 32",2,1240,8,64,8,3
1,"mlx compiled, eval every 32",4,2542,8,64,8,3
1,"mlx compiled, eval every 32",8,4913,8,64,8,3
1,"mlx compiled, eval every 32",16,9789,8,64,8,3
1,"mlx compiled, eval every 32",32,19191,8,64,8,3
1,"mlx compiled, eval every 32",64,37825,8,64,8,3
1,"mlx compiled, eval every 32",128,74255,8,64,8,3
1,"mlx compiled, eval every 32",256,145507,8,64,8,3
1,"mlx compiled, eval every 32",512,293796,8,64,8,3
1,"mlx compiled, eval every 32",1024,560567,8,64,8,3
1,"mlx compiled, eval every 32",2048,1098365,8,64,8,3
1,"mlx compiled, eval every 32",4096,2147534,8,64,8,3
1,"mlx compiled, eval every 32",8192,4193295,8,64,8,3
1,"mlx compiled, eval every 32",16384,8389374,8,64,8,3
1,"mlx compiled, eval every 32",32768,15691652,8,64,8,3
1,"mlx compiled, eval every 32",65536,22671071,8,64,8,3
1,"metal kernel, eval every step",1,4604,8,64,8,3
1,"metal kernel, eval every step",2,9141,8,64,8,3
1,"metal kernel, eval every step",4,18205,8,64,8,3
1,"metal kernel, eval every step",8,33624,8,64,8,3
1,"metal kernel, eval every step",16,68155,8,64,8,3
1,"metal kernel, eval every step",32,136160,8,64,8,3
1,"metal kernel, eval every step",64,273430,8,64,8,3
1,"metal kernel, eval every step",128,539234,8,64,8,3
1,"metal kernel, eval every step",256,1095087,8,64,8,3
1,"metal kernel, eval every step",512,2207082,8,64,8,3
1,"metal kernel, eval every step",1024,4127927,8,64,8,3
1,"metal kernel, eval every step",2048,8776139,8,64,8,3
1,"metal kernel, eval every step",4096,16802666,8,64,8,3
1,"metal kernel, eval every step",8192,32296671,8,64,8,3
1,"metal kernel, eval every step",16384,55601809,8,64,8,3
1,"metal kernel, eval every step",32768,88069531,8,64,8,3
1,"metal kernel, eval every step",65536,132826766,8,64,8,3
1,"metal kernel, eval every 32",1,15667,8,64,8,3
1,"metal kernel, eval every 32",2,33461,8,64,8,3
1,"metal kernel, eval every 32",4,71182,8,64,8,3
1,"metal kernel, eval every 32",8,138453,8,64,8,3
1,"metal kernel, eval every 32",16,280199,8,64,8,3
1,"metal kernel, eval every 32",32,556799,8,64,8,3
1,"metal kernel, eval every 32",64,1044454,8,64,8,3
1,"metal kernel, eval every 32",128,2003832,8,64,8,3
1,"metal kernel, eval every 32",256,4193767,8,64,8,3
