rule,n,seed,lr,minibatches,solved,iterations,env_steps,train_seconds,score
fixed,256,0,0.00025,4,True,11,90112,0.2346461679553613,479.95751953125
fixed,256,1,0.00025,4,True,7,57344,0.1110923340311274,499.78759765625
fixed,256,2,0.00025,4,True,38,311296,0.5935690829064697,493.9609375
fixed,256,3,0.00025,4,True,7,57344,0.11211041687056422,482.26220703125
fixed,256,4,0.00025,4,True,7,57344,0.10970975016243756,495.974609375
fixed,1024,0,0.00025,4,True,11,360448,0.3111364159267396,478.9208984375
fixed,1024,1,0.00025,4,True,7,229376,0.18943066813517362,500.0
fixed,1024,2,0.00025,4,True,63,2064384,1.689888209104538,492.5009765625
fixed,1024,3,0.00025,4,True,36,1179648,0.9702016209485009,493.96044921875
fixed,1024,4,0.00025,4,True,7,229376,0.18955504102632403,493.66650390625
fixed,4096,0,0.00025,4,True,11,1441792,0.8973149600205943,497.47900390625
fixed,4096,1,0.00025,4,True,7,917504,0.5441169999539852,500.0
fixed,4096,2,0.00025,4,True,49,6422528,3.798673791694455,486.28076171875
fixed,4096,3,0.00025,4,True,71,9306112,5.511889253044501,489.8603515625
fixed,4096,4,0.00025,4,True,7,917504,0.5459451659116894,499.5185546875
fixed,16384,0,0.00025,4,True,10,5242880,2.954014709102921,480.5859375
fixed,16384,1,0.00025,4,True,7,3670016,1.967733666766435,499.9111328125
fixed,16384,2,0.00025,4,True,107,56098816,30.450316919595934,495.72705078125
fixed,16384,3,0.00025,4,True,62,32505856,17.481327625224367,490.53076171875
fixed,16384,4,0.00025,4,True,7,3670016,2.010667040012777,498.45751953125
fixed,65536,0,0.00025,4,True,10,20971520,11.843757333350368,475.796875
fixed,65536,1,0.00025,4,True,7,14680064,7.905315499869175,499.927734375
fixed,65536,2,0.00025,4,True,52,109051904,59.05116917018313,484.37451171875
fixed,65536,3,0.00025,4,True,98,205520896,110.42214325477835,475.3837890625
fixed,65536,4,0.00025,4,True,7,14680064,7.927407917100936,498.82373046875
sqrt,256,0,0.00025,4,True,11,90112,0.18157912616152316,479.95751953125
sqrt,256,1,0.00025,4,True,7,57344,0.11373404099140316,499.78759765625
sqrt,256,2,0.00025,4,True,38,311296,0.6041425818111748,493.9609375
sqrt,256,3,0.00025,4,True,7,57344,0.11242924793623388,482.26220703125
sqrt,256,4,0.00025,4,True,7,57344,0.11301974987145513,495.974609375
sqrt,1024,0,0.0005,4,True,19,622592,0.5194426267407835,479.703125
sqrt,1024,1,0.0005,4,True,38,1245184,1.0454248354071751,491.50146484375
sqrt,1024,2,0.0005,4,True,28,917504,0.7649135841056705,485.19873046875
sqrt,1024,3,0.0005,4,True,20,655360,0.5519178751856089,480.7548828125
sqrt,1024,4,0.0005,4,True,16,524288,0.43491287308279425,477.3388671875
sqrt,4096,0,0.001,4,True,24,3145728,1.933404834009707,475.892578125
sqrt,4096,1,0.001,4,True,12,1572864,0.9479664179962128,475.44482421875
sqrt,4096,2,0.001,4,True,24,3145728,1.8825345430523157,484.52734375
sqrt,4096,3,0.001,4,True,19,2490368,1.492738752742298,480.9697265625
sqrt,4096,4,0.001,4,True,18,2359296,1.4135248739039525,480.005859375
sqrt,16384,0,0.002,4,True,13,6815744,3.7162302501965314,491.68310546875
sqrt,16384,1,0.002,4,True,12,6291456,3.3718882930697873,492.71630859375
sqrt,16384,2,0.002,4,True,18,9437184,5.043023706879467,499.4716796875
sqrt,16384,3,0.002,4,True,16,8388608,4.612667542882264,492.0888671875
sqrt,16384,4,0.002,4,True,11,5767168,3.131686001084745,478.900390625
sqrt,65536,0,0.004,4,True,16,33554432,18.352895915857516,477.712890625
sqrt,65536,1,0.004,4,True,11,23068672,12.351538706687279,484.39501953125
sqrt,65536,2,0.004,4,True,17,35651584,19.13758587697521,490.29345703125
sqrt,65536,3,0.004,4,True,16,33554432,18.176502833142877,483.79443359375
sqrt,65536,4,0.004,4,True,10,20971520,11.215249249129556,487.2392578125
linear,256,0,0.00025,4,True,11,90112,0.26099304109811783,479.95751953125
linear,256,1,0.00025,4,True,7,57344,0.11235441698227078,499.78759765625
linear,256,2,0.00025,4,True,38,311296,0.6016942901769653,493.9609375
linear,256,3,0.00025,4,True,7,57344,0.1127210408449173,482.26220703125
linear,256,4,0.00025,4,True,7,57344,0.11245962593238801,495.974609375
linear,1024,0,0.001,4,True,24,786432,0.6668194178491831,487.03515625
linear,1024,1,0.001,4,True,13,425984,0.3605521653080359,480.30712890625
linear,1024,2,0.001,4,True,22,720896,0.6065926261944696,498.94775390625
