rule,n,seed,lr,minibatches,solved,iterations,env_steps,train_seconds,score
fixed,4096,0,0.00025,4,True,11,1441792,0.9192393749253824,497.47900390625
fixed,4096,1,0.00025,4,True,7,917504,0.5435662080999464,500.0
fixed,4096,2,0.00025,4,True,49,6422528,3.8305613703560084,486.28076171875
fixed,4096,3,0.00025,4,True,71,9306112,5.532554580946453,489.8603515625
fixed,4096,4,0.00025,4,True,7,917504,0.5451704161241651,499.5185546875
fixed,16384,0,0.00025,4,True,10,5242880,2.939041787874885,480.5859375
fixed,16384,1,0.00025,4,True,7,3670016,1.9866366650676355,499.9111328125
fixed,16384,2,0.00025,4,True,107,56098816,30.03365258022677,495.72705078125
fixed,16384,3,0.00025,4,True,62,32505856,17.35823233111296,490.53076171875
fixed,16384,4,0.00025,4,True,7,3670016,1.965758417849429,498.45751953125
fixed,65536,0,0.00025,4,True,10,20971520,11.904556127032265,475.796875
fixed,65536,1,0.00025,4,True,7,14680064,8.197260166052729,499.927734375
fixed,65536,2,0.00025,4,True,52,109051904,58.4219402881572,484.37451171875
fixed,65536,3,0.00025,4,True,98,205520896,110.83966228237841,475.3837890625
fixed,65536,4,0.00025,4,True,7,14680064,7.913734957692213,498.82373046875
clip0.5,4096,0,0.00025,64,True,11,1441792,2.9441261218162253,499.7666015625
clip0.5,4096,1,0.00025,64,True,11,1441792,2.0081825819797814,483.8544921875
clip0.5,4096,2,0.00025,64,True,10,1310720,1.7461095440667123,495.05126953125
clip0.5,4096,3,0.00025,64,True,13,1703936,2.2463725397828966,498.294921875
clip0.5,4096,4,0.00025,64,True,8,1048576,1.3904327077325433,480.85986328125
clip0.5,16384,0,0.00025,256,True,11,5767168,7.8083926669787616,479.30322265625
clip0.5,16384,1,0.00025,256,True,9,4718592,6.22408000077121,484.79833984375
clip0.5,16384,2,0.00025,256,True,16,8388608,11.135692792013288,490.03515625
clip0.5,16384,3,0.00025,256,True,16,8388608,11.031725251232274,486.95361328125
clip0.5,16384,4,0.00025,256,True,10,5242880,6.92061520810239,490.23486328125
clip0.5,65536,0,0.00025,1024,True,12,25165824,33.4798426280031,498.49169921875
clip0.5,65536,1,0.00025,1024,True,7,14680064,19.250422956887633,480.45849609375
clip0.5,65536,2,0.00025,1024,True,12,25165824,33.23240279091988,491.67578125
clip0.5,65536,3,0.00025,1024,True,12,25165824,33.43117712275125,499.03857421875
clip0.5,65536,4,0.00025,1024,True,10,20971520,27.70918733207509,485.2470703125
window128,4096,0,0.00025,4,True,11,5767168,3.311881501111202,485.84033203125
window128,4096,1,0.00025,4,True,7,3670016,2.092996459105052,499.9697265625
window128,4096,2,0.00025,4,True,49,25690112,14.51998020906467,476.10888671875
window128,4096,3,0.00025,4,True,61,31981568,17.958626713138074,480.60107421875
window128,4096,4,0.00025,4,True,7,3670016,2.0592984170652926,497.13134765625
window128,16384,0,0.00025,4,True,11,23068672,12.771532167098485,488.92333984375
window128,16384,1,0.00025,4,True,7,14680064,7.854981250013225,500.0
window128,16384,2,0.00025,4,True,58,121634816,66.8141189640155,481.5830078125
window128,16384,3,0.00025,4,True,75,157286400,85.53353866492398,478.1552734375
window128,16384,4,0.00025,4,True,7,14680064,8.061789042199962,497.66015625
window128,65536,0,0.00025,4,True,11,92274688,54.65089129307307,488.7265625
window128,65536,1,0.00025,4,True,7,58720256,33.63718845893163,500.0
window128,65536,2,0.00025,4,False,24,201326592,122.92121983983088,376.56103515625
window128,65536,3,0.00025,4,False,26,218103808,121.16752625326626,425.08642578125
window128,65536,4,0.00025,4,True,7,58720256,32.54098849929869,497.240234375
