k,config,n,steps_per_sec,iters,warmup,repeats
2,numpy,1,14102,64,8,3
2,numpy,2,26836,64,8,3
2,numpy,4,53629,64,8,3
2,numpy,8,106097,64,8,3
2,numpy,16,210915,64,8,3
2,numpy,32,409641,64,8,3
2,numpy,64,767928,64,8,3
2,numpy,128,1378235,64,8,3
2,numpy,256,2353713,64,8,3
2,numpy,512,3736960,64,8,3
2,numpy,1024,5325045,64,8,3
2,numpy,2048,6742705,64,8,3
2,numpy,4096,8108518,64,8,3
2,numpy,8192,9680630,64,8,3
2,numpy,16384,9285535,64,8,3
2,numpy,32768,9309310,64,8,3
2,numpy,65536,9117085,64,8,3
2,"mlx compiled, eval every step",1,2246,64,8,3
2,"mlx compiled, eval every step",2,4853,64,8,3
2,"mlx compiled, eval every step",4,9545,64,8,3
2,"mlx compiled, eval every step",8,18952,64,8,3
2,"mlx compiled, eval every step",16,35390,64,8,3
2,"mlx compiled, eval every step",32,74666,64,8,3
2,"mlx compiled, eval every step",64,145260,64,8,3
2,"mlx compiled, eval every step",128,283643,64,8,3
2,"mlx compiled, eval every step",256,562904,64,8,3
2,"mlx compiled, eval every step",512,1206310,64,8,3
2,"mlx compiled, eval every step",1024,2247976,64,8,3
2,"mlx compiled, eval every step",2048,4680829,64,8,3
2,"mlx compiled, eval every step",4096,9090570,64,8,3
2,"mlx compiled, eval every step",8192,18326542,64,8,3
2,"mlx compiled, eval every step",16384,33716993,64,8,3
2,"mlx compiled, eval every step",32768,50876124,64,8,3
2,"mlx compiled, eval every step",65536,70362176,64,8,3
2,"mlx compiled, eval every 32",1,3390,64,8,3
2,"mlx compiled, eval every 32",2,6635,64,8,3
2,"mlx compiled, eval every 32",4,13736,64,8,3
2,"mlx compiled, eval every 32",8,26665,64,8,3
2,"mlx compiled, eval every 32",16,54029,64,8,3
2,"mlx compiled, eval every 32",32,106786,64,8,3
2,"mlx compiled, eval every 32",64,213022,64,8,3
2,"mlx compiled, eval every 32",128,425597,64,8,3
2,"mlx compiled, eval every 32",256,841874,64,8,3
2,"mlx compiled, eval every 32",512,1695682,64,8,3
2,"mlx compiled, eval every 32",1024,3368688,64,8,3
2,"mlx compiled, eval every 32",2048,6820983,64,8,3
2,"mlx compiled, eval every 32",4096,13580949,64,8,3
2,"mlx compiled, eval every 32",8192,26638282,64,8,3
2,"mlx compiled, eval every 32",16384,51806582,64,8,3
2,"mlx compiled, eval every 32",32768,80824322,64,8,3
2,"mlx compiled, eval every 32",65536,95157033,64,8,3
2,"metal kernel, eval every step",1,5043,64,8,3
2,"metal kernel, eval every step",2,10104,64,8,3
2,"metal kernel, eval every step",4,20381,64,8,3
2,"metal kernel, eval every step",8,40909,64,8,3
2,"metal kernel, eval every step",16,81145,64,8,3
2,"metal kernel, eval every step",32,161435,64,8,3
2,"metal kernel, eval every step",64,329675,64,8,3
2,"metal kernel, eval every step",128,677519,64,8,3
2,"metal kernel, eval every step",256,1312023,64,8,3
2,"metal kernel, eval every step",512,2610303,64,8,3
2,"metal kernel, eval every step",1024,5195428,64,8,3
2,"metal kernel, eval every step",2048,10303119,64,8,3
2,"metal kernel, eval every step",4096,20510646,64,8,3
2,"metal kernel, eval every step",8192,40660078,64,8,3
2,"metal kernel, eval every step",16384,79667925,64,8,3
2,"metal kernel, eval every step",32768,149822875,64,8,3
2,"metal kernel, eval every step",65536,267390843,64,8,3
2,"metal kernel, eval every 32",1,21138,64,8,3
2,"metal kernel, eval every 32",2,45695,64,8,3
2,"metal kernel, eval every 32",4,91748,64,8,3
2,"metal kernel, eval every 32",8,182293,64,8,3
2,"metal kernel, eval every 32",16,364429,64,8,3
2,"metal kernel, eval every 32",32,742107,64,8,3
2,"metal kernel, eval every 32",64,1455946,64,8,3
2,"metal kernel, eval every 32",128,2916470,64,8,3
2,"metal kernel, eval every 32",256,5801529,64,8,3
