backend,n,seed,solved,iterations,env_steps,train_seconds,score
mlx,16,0,True,14,7168,0.9348061671480536,493.0751953125
mlx,16,1,True,8,4096,0.11357654287712649,499.994140625
mlx,16,2,True,49,25088,0.6886422941461205,497.7275390625
mlx,16,3,True,10,5120,0.14172758592758328,495.24072265625
mlx,16,4,True,31,15872,0.43678662611637264,498.7783203125
mlx,64,0,True,12,24576,0.8584756670170464,499.279296875
mlx,64,1,True,8,16384,0.11697329202434048,484.181640625
mlx,64,2,True,42,86016,0.6875611241557635,475.4462890625
mlx,64,3,True,55,112640,0.8999927558470517,496.62890625
mlx,64,4,True,60,122880,0.9392650409718044,482.76513671875
mlx,256,0,True,11,90112,0.22211329312995076,479.95751953125
mlx,256,1,True,7,57344,0.13825858297059312,499.78759765625
mlx,256,2,True,38,311296,0.6816657920135185,493.9609375
mlx,256,3,True,7,57344,0.12538741691969335,482.26220703125
mlx,256,4,True,7,57344,0.1289294590242207,495.974609375
mlx,1024,0,True,11,360448,0.3343174588517286,478.9208984375
mlx,1024,1,True,7,229376,0.22030420799273998,500.0
mlx,1024,2,True,63,2064384,2.211161913757678,492.5009765625
mlx,1024,3,True,36,1179648,1.1061412531416863,493.96044921875
mlx,1024,4,True,7,229376,0.2131995430099778,493.66650390625
mlx,4096,0,True,11,1441792,1.647855749935843,497.47900390625
mlx,4096,1,True,7,917504,0.5719507909961976,500.0
mlx,4096,2,True,49,6422528,4.11243091680808,486.28076171875
mlx,4096,3,True,71,9306112,5.915466048114467,489.8603515625
mlx,4096,4,True,7,917504,0.6403337910305709,499.5185546875
mlx,16384,0,True,10,5242880,3.2033833330497146,480.5859375
mlx,16384,1,True,7,3670016,2.0393307909253053,499.9111328125
mlx,16384,2,True,107,56098816,30.400385080778506,495.72705078125
mlx,16384,3,True,62,32505856,17.685990206664428,490.53076171875
mlx,16384,4,True,7,3670016,2.0737456239876337,498.45751953125
mlx,65536,0,True,10,20971520,12.416210581955966,475.796875
mlx,65536,1,True,7,14680064,8.020377416920383,499.927734375
mlx,65536,2,True,52,109051904,65.2269893346238,484.37451171875
mlx,65536,3,False,97,203423744,120.26423404435627,457.7587890625
mlx,65536,4,True,7,14680064,8.959628582932055,498.82373046875
numpy,16,0,True,34,17408,0.6776460832334124,478.24755859375
numpy,16,1,True,8,4096,0.1591939580393955,498.5419921875
numpy,16,2,True,36,18432,0.7258902480243705,500.0
numpy,16,3,True,38,19456,0.7479798761196434,479.48681640625
numpy,16,4,True,7,3584,0.12978962494526058,482.40771484375
numpy,64,0,True,13,26624,0.24491862411377952,500.0
numpy,64,1,True,9,18432,0.1901254600379616,499.05419921875
numpy,64,2,True,75,153600,1.5662226269487292,497.7578125
numpy,64,3,True,98,200704,2.09640579984989,482.169921875
numpy,64,4,True,67,137216,1.2848216214915738,479.83349609375
numpy,256,0,True,32,262144,0.6910341669572517,480.068359375
numpy,256,1,True,7,57344,0.16272987599950284,484.12939453125
numpy,256,2,True,66,540672,1.4380404620897025,484.89453125
numpy,256,3,True,68,557056,1.4759931685985066,494.0537109375
numpy,256,4,True,6,49152,0.14364037400810048,498.55859375
numpy,1024,0,True,11,360448,0.421922706940677,496.9521484375
numpy,1024,1,True,8,262144,0.29595091502415016,500.0
numpy,1024,2,True,27,884736,0.97627695905976,481.357421875
numpy,1024,3,True,65,2129920,2.4089414550107904,491.732421875
numpy,1024,4,True,7,229376,0.23386445798678324,498.7509765625
numpy,4096,0,True,11,1441792,1.0211052919039503,497.6572265625
numpy,4096,1,True,7,917504,0.6344994169776328,499.4638671875
numpy,4096,2,True,104,13631488,9.672304292034823,485.10205078125
numpy,4096,3,True,46,6029312,4.51839354087133,481.82470703125
numpy,4096,4,True,7,917504,0.6960219580214471,499.24072265625
numpy,16384,0,True,10,5242880,3.514098210085649,482.58935546875
numpy,16384,1,True,7,3670016,2.383209500054363,499.3955078125
numpy,16384,2,True,121,63438848,39.622630424040835,482.189453125
numpy,16384,3,True,99,51904512,34.743824706063606,478.74169921875
numpy,16384,4,True,7,3670016,2.3236754989484325,498.74462890625
numpy,65536,0,True,10,20971520,14.087158708076458,480.4443359375
numpy,65536,1,True,7,14680064,9.654226625105366,499.91015625
numpy,65536,2,False,97,203423744,120.3619608336594,325.55908203125
numpy,65536,3,True,70,146800640,85.28881566994824,477.1494140625
numpy,65536,4,True,7,14680064,8.702583584061358,498.283203125
